geo_id,fips,county,total_employed,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,other,public_admin,year
0500000US06097,6097,"Sonoma County, California",227836,5278,16982,22332,6951,31387,8049,5209,13553,24793,45633,23787,12927,10955,2010
0500000US06099,6099,"Stanislaus County, California",198972,11321,14636,26716,9122,26086,9314,2618,7241,13653,45076,15053,10521,7615,2010
0500000US06101,6101,"Sutter County, California",,,,,,,,,,,,,,,2010
0500000US06107,6107,"Tulare County, California",169217,31291,9511,11423,9748,19518,8111,1548,6049,10851,30438,11344,7846,11539,2010
0500000US06111,6111,"Ventura County, California",387454,17808,21334,36769,15180,43469,12723,9869,32303,48004,72035,35369,17832,24759,2010
0500000US06113,6113,"Yolo County, California",86907,4109,4282,3611,1763,8673,3474,2040,4140,8727,27357,7185,3995,7551,2010
0500000US06115,6115,"Yuba County, California",,,,,,,,,,,,,,,2010
0500000US08001,8001,"Adams County, Colorado",205967,3008,21591,17921,9694,23658,15549,5678,12909,24597,30710,18867,11488,10297,2010
0500000US08005,8005,"Arapahoe County, Colorado",290348,2512,20615,15962,8620,36778,15851,11832,26986,38911,56572,29666,13614,12429,2010
0500000US08013,8013,"Boulder County, Colorado",153738,1272,6880,18833,3637,13719,3904,4814,7602,27184,36567,17178,7797,4351,2010
0500000US08031,8031,"Denver County, Colorado",301802,2992,20879,18646,8827,27807,10990,11353,23986,51414,60833,36967,15328,11780,2010
0500000US08035,8035,"Douglas County, Colorado",147755,1621,9417,10973,3361,17379,5386,9439,18094,22649,26432,9757,6824,6423,2010
0500000US08041,8041,"El Paso County, Colorado",275722,1220,18952,20234,4168,32550,11020,7168,16748,37261,60661,30805,16665,18270,2010
0500000US08059,8059,"Jefferson County, Colorado",271398,3429,21404,21822,8518,30167,11173,8999,20886,41132,52008,23555,13278,15027,2010
0500000US08069,8069,"Larimer County, Colorado",151483,2557,9431,15746,3890,17112,4579,2727,9581,17005,39658,14091,7926,7180,2010
0500000US08077,8077,"Mesa County, Colorado",64449,4290,3852,3530,1498,8436,2924,1543,3671,4334,17548,6590,2605,3628,2010
0500000US08101,8101,"Pueblo County, Colorado",64170,722,4959,5086,1639,10765,2369,824,2614,5337,16363,7178,2037,4277,2010
0500000US08123,8123,"Weld County, Colorado",118678,4546,9797,13115,3415,17046,6306,1377,7511,11120,25836,9113,4387,5109,2010
0500000US09001,9001,"Fairfield County, Connecticut",432039,1141,27148,36725,12198,45981,13443,13382,51514,69894,93202,31391,24283,11737,2010
0500000US09003,9003,"Hartford County, Connecticut",432297,1517,19487,46720,10352,47056,17932,11177,50255,43906,107623,37478,17886,20908,2010
0500000US09005,9005,"Litchfield County, Connecticut",97532,1118,6671,12781,2537,9852,3320,2155,7190,11080,25409,7300,5350,2769,2010
0500000US09007,9007,"Middlesex County, Connecticut",83458,423,6688,9390,2392,8853,3034,2413,6756,8215,22533,5663,3409,3689,2010
0500000US09009,9009,"New Haven County, Connecticut",420431,1447,18646,51814,10140,45565,16306,10124,26025,37032,134278,35392,18863,14799,2010
0500000US09011,9011,"New London County, Connecticut",133119,339,7269,15809,2644,15000,5472,2033,5148,12439,31296,22490,6244,6936,2010
0500000US09013,9013,"Tolland County, Connecticut",79841,464,5145,8550,1666,8003,2434,1188,7629,7101,23599,5985,3436,4641,2010
0500000US09015,9015,"Windham County, Connecticut",57729,994,4163,6704,1651,7230,2755,622,2178,4127,17036,5194,2546,2529,2010
0500000US10001,10001,"Kent County, Delaware",68808,1178,4514,5322,827,10327,3305,1476,4064,3544,16898,6584,2804,7965,2010
0500000US10003,10003,"New Castle County, Delaware",261666,966,15127,24041,6152,26941,11990,4344,38004,26851,63103,21622,9908,12617,2010
0500000US10005,10005,"Sussex County, Delaware",80646,2573,8870,7668,1933,12156,3344,889,4361,5494,17104,7440,4713,4101,2010
0500000US11001,11001,"District of Columbia, District of Columbia",299127,174,8866,3113,2717,15923,11159,11748,15640,66452,55973,26169,26834,54359,2010
0500000US12001,12001,"Alachua County, Florida",112538,983,3705,3926,1780,12816,3401,1905,5862,11910,44064,11771,5558,4857,2010
0500000US12005,12005,"Bay County, Florida",75029,317,5332,3872,930,11004,3363,880,4385,8307,15341,9430,4719,7149,2010
0500000US12009,12009,"Brevard County, Florida",227358,771,15981,27933,3896,29433,7933,3202,12310,30740,47476,22761,10757,14165,2010
0500000US12011,12011,"Broward County, Florida",826452,4298,49957,40905,31052,112360,46568,17711,67144,108344,171463,86607,52591,37452,2010
0500000US12015,12015,"Charlotte County, Florida",53046,46,3485,2361,1070,8924,1590,519,3551,6715,13326,3981,3456,4022,2010
0500000US12017,12017,"Citrus County, Florida",44564,865,3191,2202,495,7226,3155,823,1380,3579,10660,6332,1579,3077,2010
0500000US12019,12019,"Clay County, Florida",81636,276,4440,4570,2386,10714,7127,1268,8655,10452,17410,5883,3719,4736,2010
0500000US12021,12021,"Collier County, Florida",123674,2615,11130,5028,4491,21667,2750,1708,8546,15524,20990,18720,5723,4782,2010
0500000US12023,12023,"Columbia County, Florida",,,,,,,,,,,,,,,2010
0500000US12031,12031,"Duval County, Florida",389770,672,21722,22161,10573,51785,25552,7790,46676,42808,85714,34224,17697,22396,2010
0500000US12033,12033,"Escambia County, Florida",114076,414,7084,5616,2562,14435,5886,1758,7757,12828,30485,12098,6465,6688,2010
0500000US12035,12035,"Flagler County, Florida",,,,,,,,,,,,,,,2010
0500000US12053,12053,"Hernando County, Florida",56063,582,4829,2479,826,10511,3185,789,3468,4194,13668,5226,2761,3545,2010
0500000US12055,12055,"Highlands County, Florida",,,,,,,,,,,,,,,2010
0500000US12057,12057,"Hillsborough County, Florida",557854,7815,31629,32944,18108,67658,24915,14863,58157,74079,121250,59144,25955,21337,2010
0500000US12061,12061,"Indian River County, Florida",52019,1515,4011,1962,854,8787,2135,690,4179,5904,10699,6087,3777,1419,2010
0500000US12069,12069,"Lake County, Florida",117196,1803,6459,7678,2931,14260,6094,2095,8497,12018,27004,18010,4423,5924,2010
0500000US12071,12071,"Lee County, Florida",233140,2520,18232,7758,4747,36523,13021,4328,15500,29322,45397,31630,13745,10417,2010
0500000US12073,12073,"Leon County, Florida",127337,591,5660,3693,1946,12511,2889,1280,8079,13957,34973,14401,6442,20915,2010
0500000US12081,12081,"Manatee County, Florida",127401,1621,7251,9729,3255,19905,5182,1420,9369,14682,28038,14671,6588,5690,2010
0500000US12083,12083,"Marion County, Florida",113661,4864,9414,6790,3381,15439,4580,1988,6690,11959,25333,12238,5246,5739,2010
0500000US12085,12085,"Martin County, Florida",57783,614,3710,3949,926,7805,1790,836,3512,7830,13467,6095,3619,3630,2010
0500000US12086,12086,"Miami-Dade County, Florida",1075625,7748,74255,54937,45164,130845,73548,26799,78688,134619,217787,112057,78170,41008,2010
0500000US12087,12087,"Monroe County, Florida",,,,,,,,,,,,,,,2010
